title, artist, id, url, length
"Can't Buy Me Love","Steve Rash","629715303","https://itunes.apple.com/us/movie/cant-buy-me-love/id629715303?uo=4",94
"American Pie Presents: The Book of Love (Unrated)","John Putch","352181520","https://itunes.apple.com/us/movie/american-pie-presents-the-book-of-love-unrated/id352181520?uo=4",93
"Must Love Dogs","Gary David Goldberg","295294112","https://itunes.apple.com/us/movie/must-love-dogs/id295294112?uo=4",97
"Rent: Filmed Live On Broadway","Michael John Warren","301647675","https://itunes.apple.com/us/movie/rent-filmed-live-on-broadway/id301647675?uo=4",152
"I Am Love (2010)","Luca Guadagnino","397150329","https://itunes.apple.com/us/movie/i-am-love-2010/id397150329?uo=4",119
"Peace, Love & Misunderstanding","Bruce Beresford","548014636","https://itunes.apple.com/us/movie/peace-love-misunderstanding/id548014636?uo=4",92
"The Love Bug","Robert Stevenson","281495547","https://itunes.apple.com/us/movie/the-love-bug/id281495547?uo=4",107
"Avenged Sevenfold: Live In the LBC","Avenged Sevenfold","309602544","https://itunes.apple.com/us/movie/avenged-sevenfold-live-in-the-lbc/id309602544?uo=4",76
"The Book of Love","Bill Purple","1182784105","https://itunes.apple.com/us/movie/the-book-of-love/id1182784105?uo=4",106
"No Greater Love (2009)","Brad J. Silverman","348967421","https://itunes.apple.com/us/movie/no-greater-love-2009/id348967421?uo=4",109
"For the Love of Spock","Adam Nimoy","1135101809","https://itunes.apple.com/us/movie/for-the-love-of-spock/id1135101809?uo=4",111
"How I Live Now","Kevin MacDonald","729147719","https://itunes.apple.com/us/movie/how-i-live-now/id729147719?uo=4",101
"Punch-Drunk Love","Paul Thomas Anderson","263562442","https://itunes.apple.com/us/movie/punch-drunk-love/id263562442?uo=4",95
"A Lot Like Love","Nigel Cole","492266818","https://itunes.apple.com/us/movie/a-lot-like-love/id492266818?uo=4",107
"Love Is Strange (2014)","Ira Sachs","950580612","https://itunes.apple.com/us/movie/love-is-strange-2014/id950580612?uo=4",94
"Love Is In the Air","Alexandre Castagnetti","797203705","https://itunes.apple.com/us/movie/love-is-in-the-air/id797203705?uo=4",97
"Live Free or Die Hard (Unrated)","Len Wiseman","279609666","https://itunes.apple.com/us/movie/live-free-or-die-hard-unrated/id279609666?uo=4",128
"Last Love","Sandra Nettelbeck","691146042","https://itunes.apple.com/us/movie/last-love/id691146042?uo=4",115
"What's Love Got to Do With It (1993)","Brian Gibson","358766864","https://itunes.apple.com/us/movie/whats-love-got-to-do-with-it-1993/id358766864?uo=4",117
"The Oscar Nominated Live Action Short Films 2014","Mark Gill, Selman Vilhunen, Anders Walter, Esteban Crespo, Xavier Legrand & Shorts International","816209503","https://itunes.apple.com/us/movie/the-oscar-nominated-live-action-short-films-2014/id816209503?uo=4",111
"How to Live Forever","Mark Wexler","518169545","https://itunes.apple.com/us/movie/how-to-live-forever/id518169545?uo=4",94
"Lewis Black: Old Yeller - Live At the Borgata In Atlantic City","Zach Nial","733260343","https://itunes.apple.com/us/movie/lewis-black-old-yeller-live-at-the-borgata-in-atlantic-city/id733260343?uo=4",81
"Hounds of Love","Ben Young","1221288150","https://itunes.apple.com/us/movie/hounds-of-love/id1221288150?uo=4",108
"The Killers: Live from the Royal Albert Hall","The Killers","337737855","https://itunes.apple.com/us/movie/the-killers-live-from-the-royal-albert-hall/id337737855?uo=4",113
"A Tale of Love and Darkness","Natalie Portman","1143150229","https://itunes.apple.com/us/movie/a-tale-of-love-and-darkness/id1143150229?uo=4",98
"Love Me","Jonathon Narducci","947603469","https://itunes.apple.com/us/movie/love-me/id947603469?uo=4",94
"P!nk The Truth About Love Tour: Live from Melbourne","P!nk","750536574","https://itunes.apple.com/us/movie/p-nk-the-truth-about-love-tour-live-from-melbourne/id750536574?uo=4",147
"Andrew Lloyd Webber's Love Never Dies","Brett Sullivan","520740880","https://itunes.apple.com/us/movie/andrew-lloyd-webbers-love-never-dies/id520740880?uo=4",121
"The Oscar Nominated Live Action Short Films 2013","Shorts International","599310733","https://itunes.apple.com/us/movie/the-oscar-nominated-live-action-short-films-2013/id599310733?uo=4",114
"Maid In Manhattan","Wayne Wang","533057651","https://itunes.apple.com/us/movie/maid-in-manhattan/id533057651?uo=4",105
"Coldplay: Ghost Stories Live 2014","Coldplay","926677784","https://itunes.apple.com/us/movie/coldplay-ghost-stories-live-2014/id926677784?uo=4",94
"I Think I Love My Wife","Chris Rock","270408027","https://itunes.apple.com/us/movie/i-think-i-love-my-wife/id270408027?uo=4",93
"When a Man Loves a Woman","Luis Mandoki","426074646","https://itunes.apple.com/us/movie/when-a-man-loves-a-woman/id426074646?uo=4",125
"Falling In Love","Unknown","272885843","https://itunes.apple.com/us/movie/falling-in-love/id272885843?uo=4",106
"Amy Schumer: Live at the Apollo","Chris Rock","1050297587","https://itunes.apple.com/us/movie/amy-schumer-live-at-the-apollo/id1050297587?uo=4",61
"Brian Regan: Live From Radio City Music Hall","Troy Miller","1052885325","https://itunes.apple.com/us/movie/brian-regan-live-from-radio-city-music-hall/id1052885325?uo=4",56
"Love Don't Cost a Thing","Troy Beyer","346085675","https://itunes.apple.com/us/movie/love-dont-cost-a-thing/id346085675?uo=4",101
"Furious Love","Darren Wilson","393072799","https://itunes.apple.com/us/movie/furious-love/id393072799?uo=4",94
